iter	Passed	Remaining
679	2327	1095
680	2334	1093
681	2340	1091
682	2345	1088
683	2348	1085
684	2353	1082
685	2357	1078
686	2361	1075
687	2364	1072
688	2368	1069
689	2371	1065
690	2375	1062
691	2379	1059
692	2384	1056
693	2387	1052
694	2392	1049
695	2395	1046
696	2399	1043
697	2403	1039
698	2406	1036
699	2410	1033
700	2413	1029
701	2417	1026
702	2421	1022
703	2424	1019
704	2428	1016
705	2432	1013
706	2439	1010
707	2443	1007
708	2446	1004
709	2450	1000
710	2454	997
711	2457	994
712	2460	990
713	2464	987
714	2468	984
715	2472	980
716	2476	977
717	2480	974
718	2484	971
719	2488	967
720	2491	964
721	2495	961
722	2499	957
723	2503	954
724	2506	950
725	2510	947
726	2514	944
727	2519	941
728	2522	937
729	2525	934
730	2529	930
731	2532	927
732	2535	923
733	2539	920
734	2544	917
735	2547	913
736	2551	910
737	2555	907
738	2559	904
739	2563	900
740	2567	897
741	2571	894
742	2574	890
743	2578	887
744	2582	883
745	2586	880
746	2589	877
747	2593	873
748	2597	870
749	2600	866
750	2604	863
751	2608	860
752	2612	856
753	2616	853
754	2620	850
755	2624	846
756	2627	843
757	2631	840
758	2635	836
759	2639	833
760	2642	830
761	2646	826
762	2650	823
763	2654	820
764	2658	816
765	2661	813
766	2665	809
767	2668	806
768	2672	802
769	2676	799
770	2680	796
771	2684	792
772	2687	789
773	2691	785
774	2695	782
775	2699	779
776	2703	775
777	2706	772
778	2710	769
779	2714	765
780	2718	762
781	2722	759
782	2726	755
783	2730	752
784	2734	748
785	2738	745
786	2741	742
787	2744	738
788	2748	735
789	2752	731
790	2756	728
791	2760	724
792	2764	721
793	2768	718
794	2771	714
795	2774	711
796	2778	707
797	2782	704
798	2786	701
799	2790	697
800	2794	694
801	2798	690
802	2802	687
803	2806	684
804	2810	680
805	2814	677
806	2818	674
807	2822	670
808	2826	667
809	2831	664
810	2834	660
811	2838	657
812	2842	653
813	2846	650
814	2850	647
815	2854	643
816	2858	640
817	2861	636
818	2865	633
819	2869	629
